Day,Time,Group,Food Name,Amount,Energy (kcal),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Choline (mg),Folate (µg),Retinol (µg),Vitamin A (IU),Vitamin C (mg),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Zinc (mg),Carbs (g),Fiber (g),Fructose (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Alanine (g),Arginine (g),Aspartic acid (g),Cystine (g),Glutamic acid (g),Glycine (g),Histidine (g),Hydroxyproline (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Protein (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2020-05-04,4:53 PM,Breakfast,"Salt","6.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.02,0.06,0.01,0.00,0.48,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-04,3:26 PM,Breakfast,"Turmeric, Ground","1.00 g",3.12,0.00,0.00,0.01,0.01,0.00,0.00,0.49,0.20,0.00,0.00,0.01,0.04,0.13,1.68,0.01,0.55,2.08,0.20,2.99,20.80,0.06,0.05,0.67,0.23,0.00,0.41,0.03,0.44,0.03,0.00,0.00,0.01,0.01,0.02,0.00,0.01,0.02,0.00,0.01,0.00,0.00,,0.00,0.01,0.00,0.00,0.01,0.00,0.10,0.00,0.00,0.00,0.00,0.01,"Spices and Herbs"
2020-05-04,4:54 PM,Breakfast,"Black Pepper, Ground","0.20 g",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,1.09,0.00,0.00,0.33,0.89,0.00,0.02,0.34,0.03,0.32,2.66,0.01,0.00,0.13,0.05,0.00,0.08,0.00,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-04,,Breakfast,"Sainsbury's Organic Mixed Herbs","0.20 g",0.57,0.00,0.00,0.01,0.00,0.00,,0.09,0.52,,9.34,0.08,0.02,2.40,3.48,0.00,0.13,0.64,0.01,0.40,2.50,0.01,0.01,0.13,0.08,0.00,0.04,0.01,0.05,0.02,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-04,,Breakfast,"Celery, Raw","100.00 g",14.00,0.02,0.06,0.32,0.25,0.07,0.00,6.10,36.00,0.00,449.00,3.10,0.26,29.00,40.00,0.04,0.20,11.00,0.10,24.00,260.00,0.40,0.13,2.97,1.60,0.37,0.00,1.34,1.37,0.17,0.00,0.00,0.08,0.08,0.04,0.02,0.02,0.12,0.00,0.09,0.02,0.01,,0.02,0.03,0.03,0.01,0.02,0.02,0.69,0.02,0.02,0.01,0.01,0.03,"Vegetables and Vegetable Products"
2020-05-04,3:31 PM,Breakfast,"Mushrooms, Raw","80.00 g",17.60,0.06,0.32,2.89,1.20,0.08,0.03,13.84,13.60,0.00,0.00,1.68,0.01,0.00,2.40,0.25,0.40,7.20,0.04,68.80,254.40,7.44,0.42,2.61,0.80,0.14,0.47,1.58,1.81,0.27,0.00,0.00,0.13,0.13,0.04,0.16,0.06,0.16,0.01,0.27,0.07,0.05,,0.06,0.10,0.09,0.02,0.07,0.06,2.47,0.08,0.09,0.03,0.04,0.19,"Vegetables and Vegetable Products"
2020-05-04,11:23 PM,Breakfast,"Tomato Raw, Includes Cherry, Grape, Roma","60.00 g",10.80,0.02,0.01,0.36,0.05,0.05,0.00,4.02,9.00,0.00,499.80,8.22,0.32,4.74,6.00,0.04,0.16,6.60,0.07,14.40,142.20,0.00,0.10,2.33,0.72,0.82,0.00,1.58,1.61,0.12,0.00,0.00,0.05,0.05,0.02,0.02,0.01,0.08,0.01,0.26,0.01,0.01,,0.01,0.02,0.02,0.00,0.02,0.01,0.53,0.02,0.02,0.00,0.01,0.01,"Vegetables and Vegetable Products"
2020-05-04,,Breakfast,"Collards, Raw","80.00 g",25.60,0.04,0.10,0.59,0.21,0.13,0.00,18.56,103.20,0.00,4015.20,28.24,1.81,349.68,185.60,0.04,0.38,21.60,0.53,20.00,170.40,1.04,0.17,4.34,3.20,0.17,0.77,0.37,1.14,0.49,0.00,0.09,0.07,0.16,0.04,0.08,0.10,0.15,0.02,0.16,0.08,0.04,,0.08,0.12,0.09,0.03,0.07,0.08,2.42,0.06,0.07,0.02,0.05,0.10,"Vegetables and Vegetable Products"
2020-05-04,,Breakfast,"Lentils, Raw","80.00 g",281.60,0.70,0.17,2.08,1.71,0.43,,77.12,383.20,,31.20,3.60,0.39,4.00,28.00,0.60,5.21,37.60,1.11,224.80,541.60,0.08,2.62,50.68,8.56,0.22,39.92,1.62,42.12,0.85,,0.09,0.33,0.42,0.12,0.82,1.52,2.18,0.26,3.06,0.80,0.55,,0.85,1.43,1.38,0.17,0.97,0.82,19.70,0.91,0.71,0.18,0.53,0.98,"Legumes and Legume Products"
2020-05-04,,Breakfast,"Lemon Juice, Fresh","10.00 g",2.20,0.00,0.00,0.01,0.01,0.00,0.00,0.51,2.00,0.00,0.60,3.87,0.02,0.00,0.60,0.00,0.01,0.60,0.00,0.80,10.30,0.01,0.01,0.69,0.03,0.11,0.00,0.25,0.66,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,"Fruits and Fruit Juices"
2020-05-04,11:11 AM,Breakfast,"Egg shell, dried, ground","0.40 g",0.00,,,,,,,,,,,,,,160.00,,,1.80,,0.40,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,0.00,,,,,,"Dairy and Egg Products"
2020-05-04,12:10 PM,Breakfast,"Arugula, Raw","22.00 g",5.50,0.01,0.02,0.07,0.10,0.02,0.00,3.37,21.34,0.00,522.06,3.30,0.09,23.89,35.20,0.02,0.32,10.34,0.07,11.44,81.18,0.07,0.10,0.80,0.35,0.22,0.00,0.45,0.45,0.15,0.00,0.04,0.03,0.07,0.02,,,,,,,,,,,,,,,0.57,,,,,,"Vegetables and Vegetable Products"
2020-05-04,10:40 AM,Breakfast,"Watercress, Raw","23.00 g",2.53,0.02,0.03,0.05,0.07,0.03,0.00,2.07,2.07,0.00,733.93,9.89,0.23,57.50,27.60,0.02,0.05,4.83,0.06,13.80,75.90,0.21,0.03,0.30,0.12,0.01,0.02,0.05,0.18,0.02,0.00,0.01,0.00,0.01,0.01,0.03,0.03,0.04,0.00,0.04,0.03,0.01,,0.02,0.04,0.03,0.00,0.03,0.02,0.53,0.01,0.03,0.01,0.01,0.03,"Vegetables and Vegetable Products"
2020-05-04,,Breakfast,"Strawberries, Fresh","250.00 g",80.00,0.06,0.05,0.97,0.31,0.12,0.00,14.25,60.00,0.00,30.00,147.00,0.70,5.50,40.00,0.12,1.03,32.50,0.97,60.00,382.50,1.00,0.35,19.20,5.00,6.10,0.10,12.23,14.20,0.75,0.00,0.16,0.23,0.39,0.04,0.08,0.07,0.37,0.02,0.25,0.06,0.03,,0.04,0.09,0.06,0.01,0.05,0.05,1.68,0.06,0.05,0.02,0.05,0.05,"Fruits and Fruit Juices"
2020-05-04,,Lunch,"Fat, mutton tallow","10.00 g",90.20,,,,,,,7.98,,,,,0.28,,,,,,,,,0.02,,,,,,,,10.00,10.20,0.23,0.55,0.78,4.73,,,,,,,,,,,,,,,,,,,,,"Fats and Oils"
2020-05-04,3:30 PM,Lunch,"Garlic, Fresh","5.00 g",7.45,0.01,0.01,0.03,0.03,0.06,0.00,1.16,0.15,0.00,0.45,1.56,0.00,0.09,9.05,0.01,0.09,1.25,0.08,7.65,20.05,0.71,0.06,1.65,0.11,0.02,1.26,0.05,1.55,0.03,0.00,0.00,0.01,0.01,0.00,0.01,0.03,0.02,0.00,0.04,0.01,0.01,,0.01,0.02,0.01,0.00,0.01,0.01,0.32,0.01,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2020-05-04,4:53 PM,Lunch,"Salt","6.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.02,0.06,0.01,0.00,0.48,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-04,4:54 PM,Lunch,"Black Pepper, Ground","0.20 g",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,1.09,0.00,0.00,0.33,0.89,0.00,0.02,0.34,0.03,0.32,2.66,0.01,0.00,0.13,0.05,0.00,0.08,0.00,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-04,7:17 PM,Lunch,"Curry Powder","2.00 g",6.50,0.00,0.00,0.07,0.02,0.00,0.00,1.28,1.12,0.00,0.38,0.01,0.50,2.00,10.50,0.02,0.38,5.10,0.17,7.34,23.40,0.81,0.09,1.12,1.06,0.02,0.00,0.06,0.05,0.28,0.00,0.01,0.06,0.06,0.03,0.01,0.02,0.04,0.00,0.05,0.02,0.01,,0.01,0.02,0.01,0.00,0.01,0.02,0.29,0.01,0.01,0.00,0.01,0.02,"Spices and Herbs"
2020-05-04,,Lunch,"Turmeric, Ground","1.00 g",3.12,0.00,0.00,0.01,0.01,0.00,0.00,0.49,0.20,0.00,0.00,0.01,0.04,0.13,1.68,0.01,0.55,2.08,0.20,2.99,20.80,0.06,0.05,0.67,0.23,0.00,0.41,0.03,0.44,0.03,0.00,0.00,0.01,0.01,0.02,0.00,0.01,0.02,0.00,0.01,0.00,0.00,,0.00,0.01,0.00,0.00,0.01,0.00,0.10,0.00,0.00,0.00,0.00,0.01,"Spices and Herbs"
2020-05-04,,Lunch,"Broccoli, Raw","100.00 g",34.00,0.07,0.12,0.64,0.57,0.18,0.00,18.70,63.00,0.00,623.00,89.20,1.44,102.00,47.00,0.05,0.73,21.00,0.21,66.00,316.00,2.50,0.41,6.64,2.60,0.68,0.00,1.70,4.04,0.37,0.00,0.06,0.05,0.11,0.11,0.10,0.19,0.33,0.03,0.54,0.09,0.06,,0.08,0.13,0.14,0.04,0.12,0.11,2.82,0.12,0.09,0.03,0.05,0.13,"Vegetables and Vegetable Products"
2020-05-04,,Lunch,"Mackerel, Atlantic, Cooked","250.00 g",655.00,0.40,1.03,17.12,2.48,1.15,47.50,160.75,5.00,135.00,450.00,1.00,4.88,16.03,37.50,0.24,3.93,242.50,0.05,695.00,1002.50,129.00,2.35,0.00,0.00,0.00,0.00,0.00,0.00,44.53,187.50,3.56,0.50,10.75,10.44,3.61,3.57,6.11,0.64,8.90,2.86,1.76,,2.75,4.85,5.48,1.77,2.33,2.11,59.63,2.43,2.61,0.67,2.01,3.07,"Finfish and Shellfish Products"
2020-05-04,,Lunch,"Lemon Juice, Fresh","20.00 g",4.40,0.00,0.00,0.02,0.03,0.01,0.00,1.02,4.00,0.00,1.20,7.74,0.03,0.00,1.20,0.00,0.02,1.20,0.00,1.60,20.60,0.02,0.01,1.38,0.06,0.22,0.00,0.50,1.32,0.05,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,"Fruits and Fruit Juices"
2020-05-04,11:11 AM,Lunch,"Egg shell, dried, ground","0.40 g",0.00,,,,,,,,,,,,,,160.00,,,1.80,,0.40,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,0.00,,,,,,"Dairy and Egg Products"
2020-05-04,,Lunch,"Apple, Fresh, Without Skin","100.00 g",48.00,0.02,0.03,0.09,0.07,0.04,0.00,3.40,0.00,0.00,38.00,4.00,0.05,0.60,5.00,0.03,0.07,4.00,0.04,11.00,90.00,0.00,0.05,12.76,1.30,6.03,0.00,10.10,11.46,0.13,0.00,0.01,0.03,0.04,0.02,0.01,0.01,0.07,0.00,0.03,0.01,0.01,,0.01,0.01,0.01,0.00,0.01,0.01,0.27,0.01,0.01,0.00,0.00,0.01,"Fruits and Fruit Juices"
2020-05-04,8:44 PM,Lunch,"Honey","10.00 g",30.40,0.00,0.00,0.01,0.01,0.00,0.00,0.22,0.20,0.00,0.00,0.05,0.00,0.00,0.60,0.00,0.04,0.20,0.01,0.40,5.20,0.08,0.02,8.24,0.02,4.09,0.00,8.21,8.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,"Sweets"
2020-05-05,,Drinks,"Jasmine Tea","600.00 g",6.00,0.04,0.35,0.18,0.07,0.03,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.02,0.12,6.00,1.10,0.00,48.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,"Beverages"
2020-05-05,11:31 AM,Breakfast,"Eggs, Cooked","180.00 g",279.00,0.12,0.92,0.12,2.52,0.22,2.00,528.84,79.20,266.40,936.00,0.00,1.85,0.54,90.00,0.02,2.14,18.00,0.05,309.60,226.80,55.44,1.89,2.02,0.00,0.00,0.00,2.02,2.02,19.10,671.40,0.12,2.41,2.55,5.88,1.26,1.36,2.28,0.53,2.96,0.76,0.54,,1.23,1.93,1.63,0.71,1.20,0.90,22.64,1.68,1.09,0.28,0.92,1.38,"Dairy and Egg Products"
2020-05-05,,Breakfast,"Soup, Stock, Beef, Home-Prepared","200.00 g",26.00,0.07,0.18,1.74,,0.11,,9.60,4.00,,,,0.02,0.20,16.00,0.10,0.54,14.00,,62.00,370.00,2.40,0.34,2.40,,,,1.08,2.40,0.18,,,0.01,0.01,0.07,,,,,,,,,,,,,,,3.94,,,,,,"Soups, Sauces, and Gravies"
2020-05-05,,Breakfast,"Fat, mutton tallow","6.00 g",54.12,,,,,,,4.79,,,,,0.17,,,,,,,,,0.01,,,,,,,,6.00,6.12,0.14,0.33,0.47,2.84,,,,,,,,,,,,,,,,,,,,,"Fats and Oils"
2020-05-05,3:30 PM,Breakfast,"Garlic, Fresh","5.00 g",7.45,0.01,0.01,0.03,0.03,0.06,0.00,1.16,0.15,0.00,0.45,1.56,0.00,0.09,9.05,0.01,0.09,1.25,0.08,7.65,20.05,0.71,0.06,1.65,0.11,0.02,1.26,0.05,1.55,0.03,0.00,0.00,0.01,0.01,0.00,0.01,0.03,0.02,0.00,0.04,0.01,0.01,,0.01,0.02,0.01,0.00,0.01,0.01,0.32,0.01,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2020-05-05,4:53 PM,Breakfast,"Salt","6.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.02,0.06,0.01,0.00,0.48,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-05,3:26 PM,Breakfast,"Turmeric, Ground","1.00 g",3.12,0.00,0.00,0.01,0.01,0.00,0.00,0.49,0.20,0.00,0.00,0.01,0.04,0.13,1.68,0.01,0.55,2.08,0.20,2.99,20.80,0.06,0.05,0.67,0.23,0.00,0.41,0.03,0.44,0.03,0.00,0.00,0.01,0.01,0.02,0.00,0.01,0.02,0.00,0.01,0.00,0.00,,0.00,0.01,0.00,0.00,0.01,0.00,0.10,0.00,0.00,0.00,0.00,0.01,"Spices and Herbs"
2020-05-05,4:54 PM,Breakfast,"Black Pepper, Ground","0.20 g",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,1.09,0.00,0.00,0.33,0.89,0.00,0.02,0.34,0.03,0.32,2.66,0.01,0.00,0.13,0.05,0.00,0.08,0.00,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-05,,Breakfast,"Sainsbury's Organic Mixed Herbs","0.20 g",0.57,0.00,0.00,0.01,0.00,0.00,,0.09,0.52,,9.34,0.08,0.02,2.40,3.48,0.00,0.13,0.64,0.01,0.40,2.50,0.01,0.01,0.13,0.08,0.00,0.04,0.01,0.05,0.02,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-05,,Breakfast,"Celery, Raw","110.00 g",15.40,0.02,0.06,0.35,0.27,0.08,0.00,6.71,39.60,0.00,493.90,3.41,0.29,31.90,44.00,0.04,0.22,12.10,0.11,26.40,286.00,0.44,0.14,3.27,1.76,0.41,0.00,1.47,1.51,0.19,0.00,0.00,0.09,0.09,0.05,0.03,0.02,0.13,0.00,0.10,0.02,0.01,,0.02,0.04,0.03,0.01,0.02,0.02,0.76,0.02,0.02,0.01,0.01,0.03,"Vegetables and Vegetable Products"
2020-05-05,3:31 PM,Breakfast,"Mushrooms, Raw","70.00 g",15.40,0.06,0.28,2.52,1.05,0.07,0.03,12.11,11.90,0.00,0.00,1.47,0.01,0.00,2.10,0.22,0.35,6.30,0.03,60.20,222.60,6.51,0.36,2.28,0.70,0.12,0.41,1.39,1.58,0.24,0.00,0.00,0.11,0.11,0.04,0.14,0.05,0.14,0.01,0.24,0.06,0.04,,0.05,0.08,0.07,0.02,0.06,0.05,2.16,0.07,0.07,0.02,0.03,0.16,"Vegetables and Vegetable Products"
2020-05-05,11:23 PM,Breakfast,"Tomato Raw, Includes Cherry, Grape, Roma","60.00 g",10.80,0.02,0.01,0.36,0.05,0.05,0.00,4.02,9.00,0.00,499.80,8.22,0.32,4.74,6.00,0.04,0.16,6.60,0.07,14.40,142.20,0.00,0.10,2.33,0.72,0.82,0.00,1.58,1.61,0.12,0.00,0.00,0.05,0.05,0.02,0.02,0.01,0.08,0.01,0.26,0.01,0.01,,0.01,0.02,0.02,0.00,0.02,0.01,0.53,0.02,0.02,0.00,0.01,0.01,"Vegetables and Vegetable Products"
2020-05-05,,Breakfast,"Collards, Raw","90.00 g",28.80,0.05,0.12,0.67,0.24,0.15,0.00,20.88,116.10,0.00,4517.10,31.77,2.03,393.39,208.80,0.04,0.42,24.30,0.59,22.50,191.70,1.17,0.19,4.88,3.60,0.19,0.86,0.41,1.28,0.55,0.00,0.10,0.08,0.18,0.05,0.09,0.11,0.17,0.02,0.18,0.08,0.04,,0.09,0.14,0.11,0.03,0.08,0.09,2.72,0.07,0.08,0.03,0.06,0.11,"Vegetables and Vegetable Products"
2020-05-05,,Breakfast,"Rice, Brown, Long-Grain, Raw","80.00 g",293.60,0.43,0.08,5.20,0.85,0.38,,17.20,18.40,,,,0.48,0.48,7.20,0.24,1.03,92.80,2.28,248.80,200.00,13.68,1.70,61.00,2.88,,58.01,0.53,58.12,2.56,,0.03,0.77,0.80,0.47,0.37,0.48,0.59,0.08,1.29,0.31,0.16,,0.27,0.53,0.24,0.14,0.33,0.30,6.03,0.33,0.23,0.08,0.24,0.37,"Cereal Grains and Pasta"
2020-05-05,,Breakfast,"Lemon Juice, Fresh","10.00 g",2.20,0.00,0.00,0.01,0.01,0.00,0.00,0.51,2.00,0.00,0.60,3.87,0.02,0.00,0.60,0.00,0.01,0.60,0.00,0.80,10.30,0.01,0.01,0.69,0.03,0.11,0.00,0.25,0.66,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,"Fruits and Fruit Juices"
2020-05-05,11:11 AM,Breakfast,"Egg shell, dried, ground","0.40 g",0.00,,,,,,,,,,,,,,160.00,,,1.80,,0.40,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,0.00,,,,,,"Dairy and Egg Products"
2020-05-05,12:10 PM,Breakfast,"Arugula, Raw","23.00 g",5.75,0.01,0.02,0.07,0.10,0.02,0.00,3.52,22.31,0.00,545.79,3.45,0.10,24.98,36.80,0.02,0.34,10.81,0.07,11.96,84.87,0.07,0.11,0.84,0.37,0.23,0.00,0.47,0.47,0.15,0.00,0.04,0.03,0.07,0.02,,,,,,,,,,,,,,,0.59,,,,,,"Vegetables and Vegetable Products"
2020-05-05,10:40 AM,Breakfast,"Watercress, Raw","24.00 g",2.64,0.02,0.03,0.05,0.07,0.03,0.00,2.16,2.16,0.00,765.84,10.32,0.24,60.00,28.80,0.02,0.05,5.04,0.06,14.40,79.20,0.22,0.03,0.31,0.12,0.01,0.02,0.05,0.19,0.02,0.00,0.01,0.00,0.01,0.01,0.03,0.04,0.04,0.00,0.05,0.03,0.01,,0.02,0.04,0.03,0.00,0.03,0.02,0.55,0.01,0.03,0.01,0.02,0.03,"Vegetables and Vegetable Products"
2020-05-05,,Breakfast,"Strawberries, Fresh","220.00 g",70.40,0.05,0.05,0.85,0.28,0.10,0.00,12.54,52.80,0.00,26.40,129.36,0.62,4.84,35.20,0.11,0.90,28.60,0.85,52.80,336.60,0.88,0.31,16.90,4.40,5.37,0.09,10.76,12.50,0.66,0.00,0.14,0.20,0.34,0.03,0.07,0.06,0.33,0.01,0.22,0.06,0.03,,0.04,0.07,0.06,0.00,0.04,0.04,1.47,0.06,0.04,0.02,0.05,0.04,"Fruits and Fruit Juices"
2020-05-05,,Lunch,"Chicken, broilers or fryers, skin only, cooked, roasted","40.00 g",181.60,0.01,0.05,2.23,0.28,0.04,0.08,18.28,0.80,31.20,104.00,,0.16,0.96,5.60,0.03,0.60,6.00,0.01,50.00,54.40,8.00,0.49,,,,,,,16.27,33.20,0.16,3.13,3.43,4.57,0.66,0.63,0.73,0.14,1.01,1.30,0.16,,0.26,0.48,0.49,0.16,0.27,0.76,8.14,0.33,0.29,0.07,0.19,0.34,"Poultry Products"
2020-05-05,,Lunch,"Fat, mutton tallow","30.00 g",270.60,,,,,,,23.94,,,,,0.84,,,,,,,,,0.06,,,,,,,,30.00,30.60,0.69,1.65,2.34,14.19,,,,,,,,,,,,,,,,,,,,,"Fats and Oils"
2020-05-05,,Lunch,"Onion, White, Yellow or Red, Raw","70.00 g",28.00,0.03,0.02,0.08,0.09,0.08,0.00,4.27,13.30,0.00,1.40,5.18,0.01,0.28,16.10,0.03,0.15,7.00,0.09,20.30,102.20,0.35,0.12,6.54,1.02,0.90,0.00,2.97,5.52,0.07,0.00,0.00,0.01,0.01,0.03,0.01,0.07,0.06,0.00,0.18,0.02,0.01,,0.01,0.02,0.03,0.00,0.02,0.01,0.77,0.01,0.01,0.01,0.01,0.01,"Vegetables and Vegetable Products"
2020-05-05,3:30 PM,Lunch,"Garlic, Fresh","5.00 g",7.45,0.01,0.01,0.03,0.03,0.06,0.00,1.16,0.15,0.00,0.45,1.56,0.00,0.09,9.05,0.01,0.09,1.25,0.08,7.65,20.05,0.71,0.06,1.65,0.11,0.02,1.26,0.05,1.55,0.03,0.00,0.00,0.01,0.01,0.00,0.01,0.03,0.02,0.00,0.04,0.01,0.01,,0.01,0.02,0.01,0.00,0.01,0.01,0.32,0.01,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2020-05-05,4:53 PM,Lunch,"Salt","6.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.02,0.06,0.01,0.00,0.48,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-05,4:54 PM,Lunch,"Black Pepper, Ground","0.20 g",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,1.09,0.00,0.00,0.33,0.89,0.00,0.02,0.34,0.03,0.32,2.66,0.01,0.00,0.13,0.05,0.00,0.08,0.00,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-05,7:17 PM,Lunch,"Curry Powder","2.00 g",6.50,0.00,0.00,0.07,0.02,0.00,0.00,1.28,1.12,0.00,0.38,0.01,0.50,2.00,10.50,0.02,0.38,5.10,0.17,7.34,23.40,0.81,0.09,1.12,1.06,0.02,0.00,0.06,0.05,0.28,0.00,0.01,0.06,0.06,0.03,0.01,0.02,0.04,0.00,0.05,0.02,0.01,,0.01,0.02,0.01,0.00,0.01,0.02,0.29,0.01,0.01,0.00,0.01,0.02,"Spices and Herbs"
2020-05-05,,Lunch,"Turmeric, Ground","1.00 g",3.12,0.00,0.00,0.01,0.01,0.00,0.00,0.49,0.20,0.00,0.00,0.01,0.04,0.13,1.68,0.01,0.55,2.08,0.20,2.99,20.80,0.06,0.05,0.67,0.23,0.00,0.41,0.03,0.44,0.03,0.00,0.00,0.01,0.01,0.02,0.00,0.01,0.02,0.00,0.01,0.00,0.00,,0.00,0.01,0.00,0.00,0.01,0.00,0.10,0.00,0.00,0.00,0.00,0.01,"Spices and Herbs"
2020-05-05,,Lunch,"Turnip, Raw","170.00 g",47.60,0.07,0.05,0.68,0.34,0.15,0.00,18.87,25.50,0.00,0.00,35.70,0.05,0.17,51.00,0.14,0.51,18.70,0.23,45.90,324.70,1.19,0.46,10.93,3.06,2.43,0.31,6.46,7.87,0.17,0.00,0.07,0.02,0.09,0.02,0.06,0.04,0.11,0.01,0.22,0.04,0.02,,0.06,0.06,0.06,0.02,0.03,0.04,1.53,0.05,0.04,0.02,0.02,0.05,"Vegetables and Vegetable Products"
